id_fam,sex1,ases,maths_09,maths_10,maths_12,verbal_09_z,verbal_10_z,verbal_12_z,sdq_09,sdq_12,maths_anx_18,anx_spaa_18,spatial_anx_18,sdq_change,maths_int,maths_slope,verbal_int,verbal_slope,verbal_composite,verbal_mean
234176,Male,-0.278567175381158,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.757974521699266,0.47191026789485296,NA,NA,NA,NaN
247127,Male,1.000817572900459,4,5,5.666666666666667,1.2821860688909081,1.3415369447053471,1.2726580736469046,1,0,1.5555555555555556,1.4285714285714286,2.2,-1,3.740260505725945,0.6876477813535121,0.9545898403296199,0.08376413293847332,1.2860917122825044,1.3070975091761259
248177,Male,-0.5939584058683591,3,4,4,0.16872626847872335,-0.11363328337751878,-0.006975269894247585,8,1,NA,NA,NA,-7,2.9962406049477814,0.48421242632231953,-0.03965679799106836,0.05735779700137798,-0.1650150202541486,-0.06030427663588318
250127,Female,1.0576881918465237,3,4,4,0.44004370912863555,-0.8650956752911164,0.47858662401782265,2.5,0,NA,NA,NA,-2.5,2.9962406049477814,0.48421242632231953,-0.06083354750199556,0.0772861025292535,-0.27855617154822637,-0.19325452563664688
251076,Female,-1.2868230631630713,3,3,4.333333333333333,0.048629825421459195,-1.4747954353949682,-0.42641281860988783,6,1,4,3,2.5,-5,2.8003615767440873,0.5212473990270032,-0.5305738320101342,0.04418202886856876,-0.984058795441205,-0.950604127002428
256196,Male,0.15912612070783438,3.6666666666666665,3.6666666666666665,5,1.1620896258336444,0.7897035187034833,1.0199728899314966,0,1,2.111111111111111,1.1428571428571428,2,1,3.239858770536434,0.5910881275382648,0.7169300671841619,0.07633933983794429,0.905000574958444,0.90483820431749
258167,Male,1.2647195689516837,4,4,6,0.14895473769608325,0.5589887000071511,1.0951732848490987,2,2,1.3333333333333333,1.5714285714285714,1.8,0,3.54438147752225,0.724682754058196,0.36314306431074295,0.11400504369746235,0.5080615870610115,0.8270809924281248
263147,Female,0.004546401897609265,3,3,6,-1.084601505773366,-1.2491365058774655,0.021620952943839082,3,0,1,1.4285714285714286,1.6,-3,3.0122968519681943,0.767933054687755,-0.7205450886776241,0.10379897604144483,-1.0798527487935103,-0.6137577764668132
270176,Male,0.12600250556268724,3,3,5,-0.06158085224448496,-1.9331465983396594,NA,4,0,NA,NA,NA,-4,2.8851356868337303,0.6199216612913039,-0.7245871802420316,0.040046432876426785,NA,-1.9331465983396594
270221,Female,-0.6834528180475858,2,3,3,1.5831608057147806,-0.41377781625611104,-0.8525492919657205,5,1,NA,NA,NA,-4,2.3369948142592616,0.3794513335554275,0.13351644920918398,-0.03220609834191045,-0.14788304460135587,-0.6331635541109157
272081,Female,-0.634674078244182,2,3,3,-1.6865509794211107,NA,-1.7950768569517745,10,3,NA,NA,NA,-7,2.3369948142592616,0.3794513335554275,-1.277092540990026,0.02669477389179889,NA,-1.7950768569517745
272171,Male,0.4335565602317048,3,4,5,1.4729501280488366,NA,NA,3,0,NA,NA,NA,-3,3.123401770082245,0.6322238197187706,0.8550168387174422,0.06781554920940923,NA,NaN
273761,Female,-0.06447175454678146,3.6666666666666665,4,6,0.780561507517788,0.6898890357476163,1.614373952163047,1,1,1.4444444444444444,1,1.5,0,3.4464419634204044,0.7432002404105378,0.6967066412307648,0.12066916174279166,0.9345670868864451,1.1521314939553315
274601,Female,-0.6630324435900212,3,3,5,0.8413433582271318,1.0124592447757605,1.7829268414405963,0,0,2.5555555555555554,2,1.8,0,2.8851356868337303,0.6199216612913039,0.8370665871185624,0.12642240830669138,1.1612475834652416,1.3976930431081784
275291,Female,0.28817936539407063,3,4,5,0.05851559081277932,0.3123556960627092,-0.17776113405186095,4,1,2,1.2857142857142858,1.4,-3,3.123401770082245,0.6322238197187706,0.007051956550699592,0.05020450618093607,-0.05304226554089393,0.06729728100542412
275501,Female,2.044400175577193,3,3,4,-0.3823271198509974,-1.4474891410693347,NA,10,4,NA,NA,NA,-6,2.757974521699266,0.47191026789485296,-0.6709753577773483,0.053561033551796096,NA,-1.4474891410693347
276221,Male,-0.2536172147380258,4,3,5,-0.5829769444002455,-0.03281546011773488,0.4875185235380792,4,3,NA,NA,NA,-1,3.1789542291392703,0.5643692022342784,-0.1436937402165859,0.10765788744797221,-0.1966431782840003,0.22735153171017214
277361,Male,-0.6301682436647148,2,3,4,-1.6059975979291268,-0.5266072810148624,NA,2,0,NA,NA,NA,-2,2.464155979393725,0.5274627269518786,-0.7968082803502122,0.08849009246036675,NA,-0.5266072810148624
277541,Male,1.1065893071242852,3,4,5,1.1719753912249644,0.3107288233373486,1.6763206480011803,1,0,NA,NA,NA,-1,3.123401770082245,0.6322238197187706,0.7254347815235981,0.11275750614245837,0.8958407658967352,0.9935247356692645
278261,Male,2.14956794015178,2.6666666666666665,3.6666666666666665,6,0.3496045622453315,0.7253296937000527,0.9931771913707266,0,0,1.5555555555555556,2,1.2,0,3.073201393365358,0.7946519799917413,0.4479211086377668,0.10145029878742674,0.6153374174758087,0.8592534425353897
278801,Female,0.48249154997030635,2,3,4,-0.39221288524231734,-0.5056332065879232,NA,3,1,NA,NA,NA,-2,2.464155979393725,0.5274627269518786,-0.3407470332354775,0.07051759441936803,NA,-0.5056332065879232
279341,Female,-0.35755323085900387,3,3,4,-0.5024235629082615,-0.6521011855710024,0.3278975337807867,5,6,5,2.857142857142857,3.7,1,2.757974521699266,0.47191026789485296,-0.31967574810765165,0.0989484407663508,-0.5174074268386486,-0.16210182589510785
279761,Female,-0.3827446753590915,3,3.3333333333333335,5,-0.17179152991042915,-0.7215308997532625,0.10604154778352944,3,2,NA,NA,NA,-1,2.964557714583235,0.6240223807671261,-0.2839780602995903,0.07672305745675093,-0.5209721160154013,-0.3077446759848665
281370,Female,1.488159711999699,4,3.6666666666666665,5,1.2525287727169483,NA,NA,2,NA,NA,NA,NA,NA,3.337798284638282,0.5725706411859228,0.7294158573084697,0.06892579441194012,NA,NaN
281574,Female,1.987801009842007,4,3,6,0.951554035893076,0.24292598188044912,1.1795938796887893,1,3,2.888888888888889,2.7142857142857144,2.7,2,3.3061153942737347,0.7123805956307294,0.5381025555693143,0.09374156260846328,0.6333024622693852,0.7112599307846192
281862,Female,-2.0182433763687553,2.6666666666666665,3,5,0.028858294638819067,1.025474226578645,0.20594881658275307,3,3,NA,NA,NA,0,2.7871961727318832,0.638439147643646,0.2699519320693453,0.06881985904149793,0.40116182433872216,0.615711521580699
291669,Male,0.9683499897667844,2,3,4,-2.017183012418943,-1.299043747355399,-0.721380374845599,6,0,NA,NA,NA,-6,2.464155979393725,0.5274627269518786,-1.169415800015674,0.09466277587397076,-1.633955367299711,-1.010212061100499
294176,Male,-0.3581156539557747,4,5,6,1.803582161046669,0.8141066095838916,NA,1,0,NA,NA,NA,-1,3.7826475607707666,0.7369849124856628,0.9386788721444336,0.06087775352489377,NA,0.8141066095838916
295157,Male,-0.5376152546274455,3,3,5,-1.7769901263044146,NA,-0.1601856354131792,8.333333333333334,1,NA,NA,NA,-7.333333333333334,2.8851356868337303,0.6199216612913039,-0.8208487242185571,0.11444679026114814,NA,-0.1601856354131792
295166,Male,-0.5486695786272223,3,3,4.333333333333333,-0.2622306767937332,-1.21532272065039,NA,2,0,NA,NA,NA,-2,2.8003615767440873,0.5212473990270032,-0.544285018074994,0.05588867395683664,NA,-1.21532272065039
300176,Female,-0.3937609668818322,4,4,4,0.22950811918806724,0.28667627446243615,0.41663992817968953,0,1,NA,NA,NA,1,3.290059147253322,0.4286599672652939,0.17422706594123977,0.0763723188199699,0.18192728820011023,0.35165810132106284
301157,Male,1.2729987487193501,3,3,4,-0.152019999127789,NA,NA,2.5,0,NA,NA,NA,-2.5,2.757974521699266,0.47191026789485296,-0.07092721251269994,0.07600039720309576,NA,NaN
301764,Female,0.6069988585386707,2.6666666666666665,4,4.333333333333333,0.44004370912863555,NA,1.3302829699258252,3,4,NA,NA,NA,1,2.940688145890756,0.5520670438068115,0.5210123992291157,0.11678328508304495,NA,1.3302829699258252
301869,Female,-0.015915589189161986,3,3,4,1.6834857179894045,0.9578466561244934,-0.8321642176433119,1,1,NA,NA,NA,0,2.757974521699266,0.47191026789485296,0.5391470544548753,-0.03964657755188074,0.5394885267259335,0.06284121924059072
311664,Male,1.3171551262680585,4,4,5.666666666666667,0.2591654153620275,0.4042110863945212,1.871669235839499,5,5,NA,NA,NA,0,3.501994422477429,0.6753456229260458,0.5144622528974159,0.15231734236502115,0.7227060710404138,1.1379401611170101
312745,Male,-0.8267695362311848,4,4,5,1.0617647135590202,1.9931848536630776,0.6736469114543101,2,3,1,2,1.7,1,3.417220312387786,0.5766713606617451,0.9408311756655857,0.05654164682623364,1.3309225456316858,1.333415882558694
314707,Male,0.24004545585878978,2.3333333333333335,2,4,-1.084601505773366,-0.7182771543025414,-0.1956249330923741,5,0,2.6666666666666665,2.142857142857143,1.8,-5,2.3238294102470567,0.49664308217207015,-0.6216490026317485,0.09020622011312811,-0.8994309633929803,-0.45695104369745776
315715,Male,-0.39011549220333014,3,3,3,0.048629825421459195,NA,-0.5286972124900914,5,1,NA,NA,NA,-4,2.6308133565648024,0.32389887449840205,-0.1967838933124991,0.03369637434624534,NA,-0.5286972124900914
315793,Female,1.563665858111883,3,3,4,-0.4925377975169415,-1.0200485599064941,NA,3.75,0,NA,NA,NA,-3.75,2.757974521699266,0.47191026789485296,-0.5601851605788581,0.06285445372473943,NA,-1.0200485599064941
316684,Female,0.8377891755412651,2,2.6666666666666665,5,-0.2918879729676933,NA,-0.1469319363337101,10,4,NA,NA,NA,-6,2.5118951167786836,0.6713734008725075,-0.21885668121046473,0.06497496667043932,NA,-0.1469319363337101
317614,Female,-0.7755614606833501,3,3.6666666666666665,4,-0.36255558906835716,0.28993001991315714,0.17692014314191917,10,3,NA,NA,NA,-7,2.9168185771982764,0.4801117068464974,-0.05354929636410141,0.08277118960365831,-0.0774163665341103,0.23342508152753816
317623,Male,0.9020873920978888,2.6666666666666665,2,3.6666666666666665,0.1390689723047632,NA,1.2415405755269224,1,3,NA,NA,NA,2,2.3793818693040816,0.4287884646875778,0.37307874863356505,0.12235112341294102,NA,1.2415405755269224
318778,Female,NA,2,2.6666666666666665,4,-0.17179152991042915,NA,NA,6,0,NA,NA,NA,-6,2.38473395164422,0.5233620074760564,-0.08219346966150562,0.076099984864033,NA,NaN
319663,Male,-0.8527167773739535,4,3,5,0.03874406003013913,NA,NA,2,2,NA,NA,NA,0,3.1789542291392703,0.5643692022342784,0.037774383173064294,0.07503953349197072,NA,NaN
321867,Female,0.26267375073478094,4,3.3333333333333335,5.666666666666667,0.9812113320670363,NA,NA,NA,NA,3.111111111111111,3.7142857142857144,2.6,NA,3.3431503669784184,0.6671441839744013,0.5748131566414274,0.07029239923292477,NA,NaN
328196,Female,1.3758188123190578,3,5,5,0.4499294745199556,0.18000375859963125,NA,4,2,NA,NA,NA,-2,3.3616678533307605,0.6445259781462372,0.21357070850441448,0.07002330670426313,NA,0.18000375859963125
331196,Female,0.16074504998604713,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.123401770082245,0.6322238197187706,NA,NA,NA,NaN
331866,Female,-0.6910625702434336,3,3,6,1.0716504789503403,NA,-1.0051830566809894,8,9,NA,NA,NA,1,3.0122968519681943,0.767933054687755,0.07156544321175817,-0.02554046031007219,NA,-1.0051830566809894
337196,Female,-0.3434247396487138,3,3,5,0.9614398012843962,0.8446666493602463,-0.48166058980782855,6,5,3.111111111111111,2,2.6,-1,2.8851356868337303,0.6199216612913039,0.3619781469323199,0.002785232738459209,0.37799632632221647,0.18150302977620886
348176,Female,0.045492183051244556,3,4,5,-0.9941623588900618,-0.142566450428513,-0.2932992270115336,2,1,2,1.8571428571428572,1.9,-1,3.123401770082245,0.6322238197187706,-0.45861936462301744,0.07987176649204601,-0.6307755454064384,-0.21793283872002328
350186,Male,0.570915387128295,3.3333333333333335,4,5,1.2624145381082683,0.9220554561665613,0.665003312335885,4,0,NA,NA,NA,-4,3.2213412841840925,0.6137063333664285,0.7100636260546329,0.05371201117914466,0.8825044360409495,0.7935293842512232
351570,Female,1.1857032787312585,3.6666666666666665,3,5,NA,1.047899902728197,0.4543122007389485,NA,0,NA,NA,NA,NA,3.0810147150374245,0.5828866885866204,0.45672229777292606,0.06809436492333328,NA,0.7511060517335728
351879,Male,0.5568355805276334,2.6666666666666665,2.6666666666666665,4,-0.9941623588900618,0.4382001426243448,-0.8345413427242918,3,0,NA,NA,NA,-3,2.5806129798479143,0.48632703477137273,-0.4129036537774159,0.048861644891899716,-0.5326943104434727,-0.1981706000499735
352166,Female,NA,3,3,5.333333333333333,-0.8231698305147741,-0.9958207400288337,-1.4002020319168398,9,5,NA,NA,NA,-4,2.927522741878551,0.6692587924234543,-0.8654612551457218,0.018774131719208838,-1.3443736345262571,-1.1980113859728367
353147,Female,1.530246056650827,4,4,6,0.018972529247499002,0.522096440332102,1.5345634572844007,0,0,1.7777777777777777,1.2857142857142858,1.6,0,3.54438147752225,0.724682754058196,0.4042251741804537,0.14171281884505524,0.5942550211447497,1.0283299488082513
355196,Male,-0.6923405932480323,3,2,4,-0.8938374466154378,NA,NA,2,NA,NA,NA,NA,NA,2.5197084384507513,0.4596081094673865,-0.4936312617208959,0.07973687392054805,NA,NaN
361272,Male,1.167688147357416,5,4,6,0.42027217834599534,0.5864702653355326,0.6825788109745666,4,1,NA,NA,NA,-3,3.8382000198277915,0.6691302950011705,0.3678366153328856,0.08318519973533262,0.4697336881610912,0.6345245381550496
365186,Male,-0.1428451715498826,3,3,5,-0.3724413544596773,0.18651124950107345,0.3898442296189198,6,1,2.5555555555555554,1.2857142857142858,2,-5,2.8851356868337303,0.6199216612913039,-0.04069849642597323,0.0948091606971285,-0.05980582321519315,0.2881777395599966
368147,Female,1.0364409427432177,3,3.6666666666666665,5,0.2591654153620275,0.04457334668858008,1.1885257792090458,2,1,NA,NA,NA,-1,3.04397974233274,0.6281231002429485,0.27657691125311484,0.11738185705282424,0.32886889496906324,0.6165495629488129
371475,Female,-1.2719125391461534,1,2,4.666666666666667,0.6406935336778836,NA,-0.3555342232514982,4,2,5,3.4285714285714284,4.1,-2,2.016845463929312,0.6693872898457385,0.09380042223725715,0.022670687592812655,NA,-0.3555342232514982
371868,Female,1.5312299511123504,3.6666666666666665,4,6,-0.6833018566748696,-0.7408781014548412,0.2701284873009503,0,1,2,1.7142857142857142,2.1,1,3.4464419634204044,0.7432002404105378,-0.4103640604017085,0.1020710598655215,-0.6341063410187395,-0.23537480707694547
372101,Male,0.9971428920845068,3,3,5.666666666666667,0.3298330314626914,0.09483113017200932,1.0110409904112398,1,2,NA,NA,NA,1,2.969909796923373,0.7185959235556048,0.2750479925360456,0.10546600732533254,0.3163993935604906,0.5529360602916246
377171,Male,0.6485378996479241,3,3,5,-0.4529947359516613,0.060666802939437714,1.1795938796887893,2,0,2.888888888888889,2,1.3,-2,2.8851356868337303,0.6199216612913039,0.06339806254576619,0.13988689753403827,0.11408863052633073,0.6201303413141135
379061,Male,0.21862406678434934,3,4,5,-0.16190576451910904,-0.1895704884612211,-0.053867742375594684,4,2,2.111111111111111,1.7142857142857142,1.4,-2,3.123401770082245,0.6322238197187706,-0.16998962312574828,0.06585452166047442,-0.3182264762099276,-0.1217191154184079
381960,Female,-1.39456511871017,2.6666666666666665,3,3,-1.836304718652335,-0.44416258502971795,0.021620952943839082,5,3,NA,NA,NA,-2,2.5328738424629558,0.3424163608507438,-0.7304556363639867,0.12502253868058724,-0.9301793456715236,-0.21127081604293943
391473,Female,-1.7206378490665075,2,3,4,0.048629825421459195,-0.6893439872515472,-0.5461285609278573,4,NA,NA,NA,NA,NA,2.464155979393725,0.5274627269518786,-0.342733397482506,0.03479476320182191,-0.6511249558779866,-0.6177362740897023
391761,Male,-1.3899834889471498,3,4,6,0.8710006544010921,NA,-0.38204162141043646,5,0,NA,NA,NA,-5,3.250562935216709,0.7802352131152217,0.17854918343176127,0.013518953399585552,NA,-0.38204162141043646
401079,Male,0.2561544935288831,2,3,5,-1.8066474224783748,NA,NA,3.75,0,2.4444444444444446,1.1428571428571428,1.7,-3.75,2.591317144528189,0.6754741203483294,-1.0137706494660508,0.08433462668818816,NA,NaN
405176,Male,0.3765027723214991,3,4,5,0.6505792990692038,NA,1.525631557764144,1,0,NA,NA,NA,-1,3.123401770082245,0.6322238197187706,0.6646542646576545,0.11979283634191233,NA,1.525631557764144
410737,Male,1.9787834679147698,3,3.6666666666666665,5,-0.1816772953017492,-0.21344776633338577,NA,3,0,NA,NA,NA,-3,3.04397974233274,0.6281231002429485,-0.15935317053178638,0.07254923721065862,NA,-0.21344776633338577
410791,Male,-0.45598709564882084,4,4,5,1.4729501280488366,-0.39280374182917177,-0.7416212989670921,5,4,3.2222222222222223,3,2.5,-1,3.417220312387786,0.5766713606617451,0.1286403981532981,-0.022823454818243258,-0.13562710309971618,-0.567212520398132
411712,Female,-0.7503034605439763,1,2,3,-1.094487271164686,NA,NA,6,NA,NA,NA,NA,NA,1.8049101887052053,0.42270163418498663,-0.607965985981063,0.08074753146214173,NA,NaN
