lhs,op,Effect,Estimate,SE,t,df,p,lower,upper,Std. estimate
s,~,sex,-0.00354699961737694,0.003395719541949488,-1.0445502267070623,Inf,0.29623089397255836,-0.010202487621196785,0.003108488386442904,-0.014574757418618332
s,~,life_evs_5,-5.652028149917657e-4,5.153242647063163e-4,-1.0967906106922314,2234.094347584445,0.27285114130890303,-0.0015757673023516147,4.453616723680832e-4,-0.015677378104003648
s,~,wm_cent:int_sdq_6,2.9092647525789006e-4,2.387261320946149e-4,1.2186620404949486,380.20644850243025,0.22372809368505342,-1.7846233291137436e-4,7.603152834271545e-4,0.02405405348663061
sat140,~~,sat140,0.16965400290162616,0.008464887465592628,20.042086039681173,Inf,2.3663932104456537e-89,0.15306312833588007,0.18624487746737226,0.6267031839205551
ks2_mat,~~,ks2_mat,0.22627282185507158,0.00573897613635663,39.42738503853061,Inf,0,0.21502463531967775,0.23752100839046542,0.2852749765588604
ks3_mat,~~,ks3_mat,0.13963669675015802,0.006899923723873073,20.237426142412048,Inf,4.5849676483682013e-91,0.1261130947552933,0.15316029874502274,0.1022191089484411
ks4_maths,~~,ks4_maths,0.5648012517187925,0.014832387613055886,38.07891665544383,Inf,0,0.535730306192465,0.59387219724512,0.2374537015233562
i,~~,i,0.36531789176841006,0.008423120018552397,43.370852007780584,1810.7002595076551,2.0833340963946918e-282,0.3487978371714133,0.3818379463654068,0.6444114382176431
s,~~,s,0.009809925703510131,3.214932415425689e-4,30.513629637875916,8337.377484851151,5.911359966167243e-194,0.009179719039851124,0.010440132367169138,0.6642664015193959
i,~~,s,0.05660224855050761,0.0014440120633971406,39.19790560291222,3496.4993124334824,6.753221584092172e-279,0.053771056860124136,0.05943344024089109,0.9455083175042778
wm_cent,~~,wm_cent,8.117494225774198,0,NA,NA,NA,8.117494225774198,8.117494225774198,0.9999999999999998
wm_cent,~~,int_sdq_6,-0.41023191449339586,0,NA,NA,NA,-0.41023191449339586,-0.41023191449339586,-0.05962170901301858
wm_cent,~~,iq_cent,14.984506308352769,0,NA,NA,NA,14.984506308352769,14.984506308352769,0.33824557086096935
wm_cent,~~,emot_cent,0.4416788517742621,0,NA,NA,NA,0.4416788517742621,0.4416788517742621,0.03733493954719976
wm_cent,~~,ses_cent,5.215159240938791,0,NA,NA,NA,5.215159240938791,5.215159240938791,0.1574869789074967
wm_cent,~~,cse_voc,-0.04470668743691002,0,NA,NA,NA,-0.04470668743691002,-0.04470668743691002,-0.06741907001287815
wm_cent,~~,cse_olevel,-0.08944033207203983,0,NA,NA,NA,-0.08944033207203983,-0.08944033207203983,-0.07058649937297641
wm_cent,~~,cse_alevel,0.004322791420024025,0,NA,NA,NA,0.004322791420024025,0.004322791420024025,0.003186047762989081
wm_cent,~~,cse_degree,0.19861194632262943,0,NA,NA,NA,0.19861194632262943,0.19861194632262943,0.16453702440726264
wm_cent,~~,sex,0.09521308010754732,0,NA,NA,NA,0.09521308010754732,0.09521308010754732,0.06692428054352638
wm_cent,~~,life_evs_5,-0.01945085246726711,0,NA,NA,NA,-0.01945085246726711,-0.01945085246726711,-0.0020253347451349908
wm_cent,~~,wm_cent:int_sdq_6,20.26109746380323,0,NA,NA,NA,20.26109746380323,20.26109746380323,0.7077587195287741
int_sdq_6,~~,int_sdq_6,5.832141576633799,0,NA,NA,NA,5.832141576633799,5.832141576633799,1
int_sdq_6,~~,iq_cent,-3.271338602739632,0,NA,NA,NA,-3.271338602739632,-3.271338602739632,-0.08711885185768127
int_sdq_6,~~,emot_cent,2.4805662436881066,0,NA,NA,NA,2.4805662436881066,2.4805662436881066,0.24737547544198868
