id_fam,sex1,ases,maths_09,maths_10,maths_12,verbal_09_z,verbal_10_z,verbal_12_z,sdq_09,sdq_12,maths_anx_18,anx_spaa_18,spatial_anx_18,sdq_change,verbal_mean,maths_int,maths_slope
724615,Female,-0.5518884542105499,2.3333333333333335,3,5,-0.242459146011093,-0.7475608633590313,-0.635015105527676,3,3,1.3333333333333333,1.4285714285714286,2.3,0,-0.6912879844433537,2.6582647227089744,0.6475073577766908
724714,Male,-1.826853389640703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
724912,Male,-1.043103062308167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
725014,Female,1.1831825969751102,3,3,NA,1.1423180950510041,0.15902968417269195,1.1527981811280192,4,4,3.3333333333333335,2.7142857142857144,2,0,0.6559139326503556,2.7977705972266005,0.4391912306948618
725177,Female,1.1134874895190707,NA,NA,4.666666666666667,NA,NA,0.37659053053945063,NA,5,NA,NA,NA,NA,0.37659053053945063,2.9848514745209114,0.5390480445183302
725186,Female,0.3212947311904772,NA,4,6,1.5831608057147806,0.14456310064719488,NA,4,NA,NA,NA,NA,NA,0.14456310064719488,3.377260875460136,0.7424163894513491
725212,Male,-1.812324972533702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
725311,Female,1.5039368594448932,NA,4,NA,0.03874406003013913,0.5575370982845385,-0.4131591195304187,2,NA,NA,NA,NA,NA,0.07218898937705989,3.210145654435628,0.5642579325340042
725317,Male,2.0366255240362583,3,3,NA,-1.295137095713934,NA,NA,2,0,NA,NA,NA,-2,NaN,2.7977705972266005,0.4391912306948618
725416,Female,-0.8342919763284261,NA,NA,4,NA,NA,-0.42641281860988783,NA,1,NA,NA,NA,NA,-0.42641281860988783,2.7508810151162777,0.43998842615331124
725614,Male,-0.8938758968133299,3.3333333333333335,3,NA,0.03874406003013913,NA,-0.09795063917321463,2,NA,NA,NA,NA,NA,-0.09795063917321463,2.9207499715026404,0.4278266277325098
725812,Female,0.883646094406528,4,4,NA,-0.07146661763580503,0.1783768858742707,0.44984625097882025,2,2,3.2222222222222223,1.7142857142857142,1.9,0,0.3141115684265455,3.501553033995778,0.5373287894277216
725917,Male,-0.42533220920813897,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NaN,NA,NA
726107,Female,0.18350632697475258,4,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NaN,3.6910547462024743,0.6938885284385461
726112,Female,-0.1098331388773821,3,2.6666666666666665,NA,NA,-0.3602662873219608,NA,NA,3,NA,NA,NA,NA,-0.3602662873219608,2.686155825912913,0.39511410815488984
726167,Female,-1.8969560280585223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
